"","iyear","country","attacktype1","weaptype1","gname","nkill","nhours","ndays","hostkidoutcome","suicide"
"104",2015,4,5,5,"Taliban",25,NA,-99,7,0
"105",2015,4,5,5,"Taliban",0,-99,NA,2,0
"106",2015,4,6,5,"Unknown",0,NA,6,2,0
"107",2015,4,6,13,"Unknown",4,NA,5,4,0
"108",2015,4,6,13,"Unknown",0,NA,27,2,0
"109",2015,4,6,9,"Taliban",3,-99,NA,4,0
"110",2015,4,6,9,"Taliban",1,-99,NA,4,0
"111",2015,4,6,13,"Unknown",0,NA,3,2,0
"112",2015,4,6,6,"Khorasan Chapter of the Islamic State",10,-99,NA,4,0
"113",2015,4,6,5,"Taliban",4,NA,1,4,0
"114",2015,4,6,9,"Taliban",1,-99,NA,4,0
"115",2015,4,6,6,"Taliban",0,-99,NA,2,0
"116",2015,4,6,5,"Taliban",0,NA,4,2,0
"117",2015,4,6,5,"Taliban",4,NA,-99,7,0
"118",2015,4,6,5,"Taliban",NA,NA,-99,7,0
"119",2015,4,6,13,"Taliban",3,NA,3,4,0
"120",2015,4,6,5,"Taliban",17,NA,-99,7,0
"121",2015,4,6,5,"Taliban",0,NA,61,2,0
"122",2015,4,6,13,"Taliban",NA,NA,-99,7,0
"123",2015,4,6,13,"Taliban",NA,NA,-99,7,0
"124",2015,4,6,13,"Taliban",NA,NA,-99,7,0
"125",2015,4,6,9,"Khorasan Chapter of the Islamic State",1,-99,NA,4,0
"126",2015,4,6,5,"Taliban",25,-99,NA,4,0
"127",2015,4,6,5,"Taliban",0,NA,22,2,0
"128",2015,4,6,5,"Taliban",0,NA,1,2,0
"129",2015,4,6,5,"Taliban",13,1,NA,4,0
"130",2015,4,6,13,"Taliban",NA,NA,-99,7,0
"131",2015,4,6,5,"Taliban",1,NA,3,4,0
"132",2015,4,6,13,"Taliban",NA,NA,-99,7,0
"133",2015,4,6,13,"Taliban",1,-99,NA,4,0
"134",2015,4,6,5,"Taliban",0,NA,2,2,0
"135",2015,4,6,5,"Taliban",0,NA,1,2,0
"136",2015,4,6,5,"Unknown",2,NA,-99,6,0
"137",2015,4,6,5,"Taliban",4,NA,2,4,0
"138",2015,4,6,13,"Taliban",0,NA,1,2,0
"139",2015,4,6,13,"Taliban",NA,NA,-99,7,0
"140",2015,4,6,5,"Taliban",2,NA,1,6,0
"141",2015,4,6,12,"Taliban",0,NA,1,2,0
"142",2015,4,6,5,"Khorasan Chapter of the Islamic State",7,NA,38,4,0
"143",2015,4,6,5,"Taliban",6,NA,-99,7,0
"144",2015,4,6,13,"Taliban",4,-99,NA,4,0
"145",2015,4,6,13,"Unknown",NA,NA,-99,6,0
"146",2015,4,6,13,"Taliban",0,NA,92,2,0
"147",2015,4,6,9,"Khorasan Chapter of the Islamic State",7,NA,-99,7,0
"148",2015,4,6,5,"Unknown",1,NA,3,4,0
"149",2015,4,5,9,"Taliban",NA,NA,-99,7,0
"150",2015,4,6,5,"Unknown",0,NA,1,2,0
"151",2015,4,6,13,"Taliban",0,NA,1,5,0
"152",2015,4,6,13,"Taliban",32,NA,-99,4,0
"153",2015,4,6,13,"Taliban",32,NA,-99,4,0
"154",2015,4,6,5,"Taliban",NA,NA,-99,7,0
"155",2015,4,6,5,"Taliban",3,NA,-99,6,0
"156",2015,4,6,5,"Taliban",4,NA,-99,6,0
"157",2015,4,6,5,"Taliban",13,NA,5,4,0
"158",2015,4,6,5,"Taliban",0,NA,1,2,0
"159",2015,4,6,12,"Taliban",1,-99,NA,4,0
"160",2015,4,6,5,"Unknown",1,NA,-99,7,0
"161",2015,4,6,5,"Taliban",NA,NA,-99,6,0
"162",2015,4,6,5,"Unknown",1,NA,5,2,0
"163",2015,4,6,13,"Taliban",NA,NA,-99,7,0
"164",2015,4,6,5,"Taliban",NA,NA,-99,7,0
"165",2015,4,6,5,"Taliban",NA,NA,-99,6,0
"166",2015,4,6,5,"Unknown",1,-99,NA,4,0
"167",2015,4,6,13,"Taliban",NA,NA,-99,7,0
"168",2015,4,6,9,"Taliban",0,-99,NA,2,0
"169",2015,4,6,13,"Unknown",NA,NA,-99,7,0
"170",2015,4,6,5,"Unknown",0,NA,1,2,0
"171",2015,4,6,5,"Taliban",0,NA,42,6,0
"172",2015,4,6,9,"Unknown",1,-99,NA,4,0
"173",2015,4,6,9,"Taliban",0,NA,-99,3,0
"174",2015,4,6,5,"Taliban",NA,NA,-99,7,0
"175",2015,4,6,9,"Taliban",1,-99,NA,4,0
